103;TH,THCS và THPT Khương Hạ;1;Hà Nội;Số 31 Khương Hạ, Phường Khương Đình, quận Thanh Xuân, TP Hà Nội;3
208;GDTX Đông Anh;1;Hà Nội;Xã Uy Nỗ, huyện Đông Anh, TP Hà Nội;2
104;THPT Đào Duy Từ;1;Hà Nội;Số 182 đường Lương Thế Vinh, phường Thanh Xuân Bắc, quận Thanh Xuân, TP Hà Nội;3
105;THPT Đại Việt;1;Hà Nội;Số 301 Nguyễn Trãi, phường Thanh Xuân Trung, quận Thanh Xuân, TP Hà Nội;3
106;THPT Hồ Tùng Mậu;1;Hà Nội;Số 18 Khương Hạ, Phường Khương Đình, Quận Thanh Xuân, TP Hà Nội;3
107;THPT Huỳnh Thúc Kháng;1;Hà Nội;Số 131, đường Nguyễn Trãi, quận Thanh Xuân, TP Hà Nội;3
108;THPT Nguyễn Tất Thành;1;Hà Nội;Số 54, phố Vũ Trọng Phụng, quận Thanh Xuân, TP Hà Nội;3
109;THPT Hoàng Mai;1;Hà Nội;Số 54A2, đường Vũ Trọng Phụng, quận Thanh Xuân, TP Hà Nội;3
110;THPT Lương Thế Vinh (Trước 9/2015);1;Hà Nội;Số 233 Vũ Tông Phan, phường Khương Trung, quận Thanh Xuân, TP Hà Nội;3
111;THPT Nguyễn Trường Tộ;1;Hà Nội;Số 30 ngõ 208 tổ 20 phố Lê Trọng Tấn, phường Khương Mai, quận Thanh Xuân, TP Hà Nội;3
112;THPT Đông Nam Á (Trước 12/2017);1;Hà Nội;Số 19 Cự Lộc, phường Thanh Xuân, quận Thanh Xuân, TP Hà Nội;3
113;THPT Hồ Xuân Hương;1;Hà Nội;Số 1 Nguyễn Quý Đức, phường Thanh Xuân Bắc, quận Thanh Xuân, TP Hà Nội;3
114;THPT Nguyễn Tất Thành-Sơn Tây (Từ 3/2019 đến 11/2020);1;Hà Nội;Số 54, phố Vũ Trọng Phụng, quận Thanh Xuân, TP Hà Nội;3
115;GDNN-GDTX quận Thanh Xuân;1;Hà Nội;Số 140 phố Bùi Xương Trạch, phường Khương Đình, quận Thanh Xuân, TP Hà Nội;3
116;GDTX Thanh Xuân;1;Hà Nội;Số 140 phố Bùi Xương Trạch, phường Khương Đình, quận Thanh Xuân, TP Hà Nội;3
117;BTVH Công ty Xây dựng Công nghiệp;1;Hà Nội;Số 25 ngõ 85 phố Hạ Đình, Quận Thanh Xuân, TP Hà Nội;3
118;TC nghề Công nghệ ôtô;1;Hà Nội;Số 83 Triều Khúc, Quận Thanh Xuân, TP Hà Nội;3
119;TC nghề Kinh tế Kỹ thuật vinamotor;1;Hà Nội;Số 35 B Nguyễn Huy Tưởng, P. Thanh Xuân Trung, Quận Thanh Xuân, TP Hà Nội;3
120;TC nghề số 10;1;Hà Nội;Số 101 Tô Vĩnh Diện, Khương Trung, Quận Thanh Xuân, TP Hà Nội;3
121;THPT Hoàng Văn Thụ;1;Hà Nội;Số 234 Đường Lĩnh Nam, phường Lĩnh Nam, quận Hoàng Mai, TP Hà Nội;3
122;THPT Trương Định;1;Hà Nội;Số 204 phố Tân Mai, phường Tân Mai, quận Hoàng Mai, TP Hà Nội;3
123;THPT Việt Nam-Ba Lan;1;Hà Nội;Số 1 ngõ 48, đường Ngọc Hồi, phường Hoàng Liệt, quận Hoàng Mai, TP Hà Nội;3
124;THPT Nguyễn Đình Chiểu;1;Hà Nội;Lô 12 Đền Lừ II, phường Hoàng Văn Thụ, quận Hoàng Mai, TP Hà Nội;3
125;THPT May;1;Hà Nội;Lô18 khu đô thị Định Công, phường Định Công, quận Hoàng Mai, TP Hà Nội;3
126;THPT Trần Quang Khải;1;Hà Nội;Số 11 ngách 1277/26 đường Giải Phóng, phường Thịnh Liệt, quận Hoàng Mai, TP Hà Nội;3
127;THCS&THPT Quốc tế Thăng Long;1;Hà Nội;Lô X1 Khu đô thị Bắc Linh Đàm, phường Đại Kim, quận Hoàng Mai, TP Hà Nội;3
128;THPT Phương Nam;1;Hà Nội;Lô 18 khu đô thi Định Công, phường Định Công, quận Hoàng Mai, TP Hà Nội;3
129;GDNN-GDTX quận Hoàng Mai;1;Hà Nội;Số 8 ngõ 22, tổ 5, đường Khuyến Lương, phường Trần Phú, quận Hoàng Mai, TP Hà Nội;3
130;GDTX Hoàng Mai;1;Hà Nội;Tổ 10 Phường Trần Phú- Quận Hoàng Mai- TP Hà Nội;3
131;CĐ nghề kinh doanh và công nghệ Hà Nội;1;Hà Nội;Số 29A, ngõ 124, Vĩnh Tuy, Phường Vĩnh Tuy, Quận Hoàng Mai, TP Hà Nội;3
132;TC nghề Du lịch Hà Nội;1;Hà Nội;Số 24 Ngõ 85 Lĩnh Nam, Quận Hoàng Mai, TP Hà Nội;3
133;TC nghề Giao thông Vận tải;1;Hà Nội;5B12A, Phường Mai Động, Quận Hoàng Mai, TP Hà Nội;3
134;TC nghề Kỹ thuật và Nghiệp vụ XD HN;1;Hà Nội;16C đường Tam Trinh, Quận Hoàng Mai, TP Hà Nội;3
135;TC nghề số 17;1;Hà Nội;Ngõ 228 Lê Trọng Tấn, Khu đô thị mới Định Công, Quận Hoàng Mai, TP Hà Nội;3
136;THPT Lý Thường Kiệt;1;Hà Nội;Tổ 11, phường Thượng Thanh, quận Long Biên, TP Hà Nội;3
137;THPT Nguyễn Gia Thiều;1;Hà Nội;Số 27 ngõ 298, phường Ngọc Lâm, quận Long Biên, TP Hà Nội;3
138;THPT Thạch Bàn;1;Hà Nội;Tổ 12, phường Thạch Bàn, quận Long Biên, TP Hà Nội;3
139;THPT Phúc Lợi;1;Hà Nội;Tổ 4 Phường Phúc Lợi, quận Long Biên, TP Hà Nội;3
